,thres_lo,thres_hi,thres_lo_qa,thres_hi_qa
adc1_ch0_value,1632,1744,1612,1764
adc1_ch1_value,1632,1744,1612,1764
adc1_ch2_value,1632,1744,1612,1764
adc1_ch3_value,1632,1744,1612,1764
adc1_ch4_value,1632,1744,1612,1764
adc1_ch5_value,1632,1744,1612,1764
adc1_ch6_value,1632,1744,1612,1764
adc1_ch7_value,1632,1744,1612,1764
adc1_ch6_atten0_lo_value,1741,1855,1721,1875
adc1_ch6_atten0_hi_value,3002,3132,2982,3152
adc1_ch6_atten1_lo_value,1293,1399,1273,1419
adc1_ch6_atten1_hi_value,2877,3007,2857,3027
adc1_ch6_atten2_lo_value,853,959,833,979
adc1_ch6_atten2_hi_value,2918,3048,2898,3068
adc1_ch6_atten3_lo_value,381,492,361,512
adc1_ch6_atten3_hi_value,2239,2359,2219,2379
touch0_value,550,2000,522,2100
touch1_value,550,2000,522,2100
touch2_value,550,2000,522,2100
touch3_value,550,2000,522,2100
touch4_value,550,2000,522,2100
touch5_value,550,2000,522,2100
touch6_value,550,2000,522,2100
touch7_value,550,2000,522,2100
touch8_value,550,2000,522,2100
touch9_value,550,2000,522,2100
pvt0_value,2000,10000,1900,10500
pvt1_value,3265,10000,3101,10500
ck8m_freq_value,7200,9870,7056,10067
